"NCT","final_decision"
"NCT03641872","Include"
"NCT03651687","Include"
"NCT03653156","Include"
"NCT03657732","Include"
"NCT03659526","Include"
"NCT03662802","Include"
"NCT03692936","Include"
"NCT03694145","Include"
"NCT03701360","Include"
"NCT03709589","Include"
"NCT03711526","Include"
"NCT03712059","Include"
"NCT03724500","Include"
"NCT03746561","Include"
"NCT03759756","Include"
"NCT03764124","Include"
"NCT03773718","Include"
"NCT03773939","Include"
"NCT03777670","Include"
"NCT03782389","Include"
"NCT03788512","Include"
"NCT03788811","Include"
"NCT03790930","Include"
"NCT03791840","Include"
"NCT03793231","Include"
"NCT03795181","Include"
"NCT03802929","Include"
"NCT03805373","Include"
"NCT03826407","Include"
"NCT03828396","Include"
"NCT03834792","Include"
"NCT03842748","Include"
"NCT03847285","Include"
"NCT03855436","Include"
"NCT03868046","Include"
"NCT03883568","Include"
"NCT03887598","Include"
"NCT03899623","Include"
"NCT03905629","Include"
"NCT03911297","Include"
"NCT03915925","Include"
"NCT03921697","Include"
"NCT03925506","Include"
"NCT03934775","Include"
"NCT03935360","Include"
"NCT03941639","Include"
"NCT03958669","Include"
"NCT03958812","Include"
"NCT03964714","Include"
"NCT03967652","Include"
"NCT03977857","Include"
"NCT03986541","Include"
"NCT04000490","Include"
"NCT04004559","Include"
"NCT04009798","Include"
"NCT04015466","Include"
"NCT04019600","Include"
"NCT04023747","Include"
"NCT04024124","Include"
"NCT04036903","Include"
"NCT04048837","Include"
"NCT04061434","Include"
"NCT04063982","Include"
"NCT04074538","Include"
"NCT04075708","Include"
"NCT04088838","Include"
"NCT04119505","Include"
"NCT04126239","Include"
"NCT04126304","Include"
"NCT04136236","Include"
"NCT04150081","Include"
"NCT04156594","Include"
"NCT04165759","Include"
"NCT04191980","Include"
"NCT04193475","Include"
"NCT04196790","Include"
"NCT04207645","Include"
"NCT04208789","Include"
"NCT04208932","Include"
"NCT04214964","Include"
"NCT04218461","Include"
"NCT04219228","Include"
"NCT04221048","Include"
"NCT04232462","Include"
"NCT04235166","Include"
"NCT04240353","Include"
"NCT04256395","Include"
"NCT04257721","Include"
"NCT04265287","Include"
"NCT04270799","Include"
"NCT04273347","Include"
"NCT04273451","Include"
"NCT04285021","Include"
"NCT04287166","Include"
"NCT04287712","Include"
"NCT04299919","Include"
"NCT04300270","Include"
"NCT04306172","Include"
"NCT04309851","Include"
"NCT04319055","Include"
"NCT04323579","Include"
"NCT04323878","Include"
"NCT04325815","Include"
"NCT04328792","Include"
"NCT04339387","Include"
"NCT04344327","Include"
"NCT04354623","Include"
"NCT04357834","Include"
"NCT04371328","Include"
"NCT04383457","Include"
"NCT04395066","Include"
"NCT04407039","Include"
"NCT04407585","Include"
"NCT04410848","Include"
"NCT04413370","Include"
"NCT04416776","Include"
"NCT04419545","Include"
"NCT04424030","Include"
"NCT04430400","Include"
"NCT04430491","Include"
"NCT04434898","Include"
"NCT04441372","Include"
"NCT04441710","Include"
"NCT04442425","Include"
"NCT04445012","Include"
"NCT04454190","Include"
"NCT04455568","Include"
"NCT04460638","Include"
"NCT04461990","Include"
"NCT04464252","Include"
"NCT04471402","Include"
"NCT04481620","Include"
"NCT04489368","Include"
"NCT04493086","Include"
"NCT04497207","Include"
"NCT04504162","Include"
"NCT04509778","Include"
"NCT04510441","Include"
"NCT04510545","Include"
"NCT04520399","Include"
"NCT04525287","Include"
"NCT04525586","Include"
"NCT04527029","Include"
"NCT04527341","Include"
"NCT04528511","Include"
"NCT04535466","Include"
"NCT04537364","Include"
"NCT04546360","Include"
"NCT04555382","Include"
"NCT04564924","Include"
"NCT04565366","Include"
"NCT04575337","Include"
"NCT04583306","Include"
"NCT04589884","Include"
"NCT04592068","Include"
"NCT04601415","Include"
"NCT04610177","Include"
"NCT04613921","Include"
"NCT04615520","Include"
"NCT04635787","Include"
"NCT04648852","Include"
"NCT04655469","Include"
"NCT04657900","Include"
"NCT04661488","Include"
"NCT04670094","Include"
"NCT04679727","Include"
"NCT04689685","Include"
"NCT04689711","Include"
"NCT04705103","Include"
"NCT04710173","Include"
"NCT04713852","Include"
"NCT04718532","Include"
"NCT04721444","Include"
"NCT04722770","Include"
"NCT04724200","Include"
"NCT04727957","Include"
"NCT04732208","Include"
"NCT04742569","Include"
"NCT04749277","Include"
"NCT04755959","Include"
"NCT04756297","Include"
"NCT04756518","Include"
"NCT04765150","Include"
"NCT04773938","Include"
"NCT04780373","Include"
"NCT04783506","Include"
"NCT04784364","Include"
"NCT04794855","Include"
"NCT04796987","Include"
"NCT04802772","Include"
"NCT04811547","Include"
"NCT04814810","Include"
"NCT04817046","Include"
"NCT04817423","Include"
"NCT04833725","Include"
"NCT04834596","Include"
"NCT04834934","Include"
"NCT04844723","Include"
"NCT04846413","Include"
"NCT04855539","Include"
"NCT04856423","Include"
"NCT04856748","Include"
"NCT04859634","Include"
"NCT04862936","Include"
"NCT04863391","Include"
"NCT04864223","Include"
"NCT04871542","Include"
"NCT04875481","Include"
"NCT04876872","Include"
"NCT04878783","Include"
"NCT04884269","Include"
"NCT04884841","Include"
"NCT04888364","Include"
"NCT04893200","Include"
"NCT04912232","Include"
"NCT04913896","Include"
"NCT04914494","Include"
"NCT04915378","Include"
"NCT04925622","Include"
"NCT04932798","Include"
"NCT04941560","Include"
"NCT04948047","Include"
"NCT04952233","Include"
"NCT04952818","Include"
"NCT04952896","Include"
"NCT04953026","Include"
"NCT04953845","Include"
"NCT04955080","Include"
"NCT04958629","Include"
"NCT04958720","Include"
"NCT04963348","Include"
"NCT04966962","Include"
"NCT04966988","Include"
"NCT04971421","Include"
"NCT04974411","Include"
"NCT04974710","Include"
"NCT04977596","Include"
"NCT04991987","Include"
"NCT04995640","Include"
"NCT04995731","Include"
"NCT05010863","Include"
"NCT05017896","Include"
"NCT05024331","Include"
"NCT05024591","Include"
"NCT05033678","Include"
"NCT05039047","Include"
"NCT05039333","Include"
"NCT05041777","Include"
"NCT05045456","Include"
"NCT05053581","Include"
"NCT05055960","Include"
"NCT05058521","Include"
"NCT05059093","Include"
"NCT05060289","Include"
"NCT05065931","Include"
"NCT05074264","Include"
"NCT05076188","Include"
"NCT05084495","Include"
"NCT05089175","Include"
"NCT05094388","Include"
"NCT05095220","Include"
"NCT05098340","Include"
"NCT05102240","Include"
"NCT05106374","Include"
"NCT05108064","Include"
"NCT05110430","Include"
"NCT05112510","Include"
"NCT05116319","Include"
"NCT05117775","Include"
"NCT05118126","Include"
"NCT05128006","Include"
"NCT05132647","Include"
"NCT05139797","Include"
"NCT05140889","Include"
"NCT05141409","Include"
"NCT05143736","Include"
"NCT05146193","Include"
"NCT05150158","Include"
"NCT05151939","Include"
"NCT05161949","Include"
"NCT05164822","Include"
"NCT05166317","Include"
"NCT05167058","Include"
"NCT05167812","Include"
"NCT05172232","Include"
"NCT05186207","Include"
"NCT05187923","Include"
"NCT05193656","Include"
"NCT05194605","Include"
"NCT05194787","Include"
"NCT05202626","Include"
"NCT05204095","Include"
"NCT05208736","Include"
"NCT05215457","Include"
"NCT05230576","Include"
"NCT05231616","Include"
"NCT05235399","Include"
"NCT05246163","Include"
"NCT05254132","Include"
"NCT05257694","Include"
