,sample_id,posneg,testcontrol,NCT_num,PMID,F03_pmid_aggmax,F01_authors_authtree,F16_titleabs_propoccurance,F13_titleabs_tsimunw_tms,F13_titleabs_tsimunw_scr,F13_titleabs_tsimw_tms,F13_titleabs_tsimw_scr,F24_mesh_meshsim,F31_authors_authtree,F30_abstract_occurance,FTA_ta_allcaps_mismatch,F25_mesh_meshsim,F33_grants_occurance,F29_grants_occurance,F15_titleabs_propoccurance,F02_titleabs_allcaps,F13_chemicals_reverseoccur,F27_abstract_occurance,F30_cn_occurance,F09_titleabs_occurance,F10_titleabs_occurance,F36_authors_authtree,startdate_lift,start_diff_lt5,start_diff_cast,authcomp,agginvint,prob,Trial Results,NCT Link,rank,keep
NCT03745053:25998890,0,0,0,NCT03745053,25998890,0.09689158751116735,0.0,-0.5,229,3872.25895,402,6922.32789,0.285332373297017,,-0.5,1,1.0714285714285714,0,0.0,-0.5,0,0.5,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.0777495395480007,no,no,975,0
NCT03745053:31422088,0,0,0,NCT03745053,31422088,0.09689158751116735,0.0,-0.5,213,3706.98299,376,6651.5293,0.285332373297017,,-0.5,1,1.0833333333333333,0,0.0,-0.5,0,0.3333333333333333,-0.5,0.0,-0.5,0.5,,0.0791550925925926,1,0,0.0,0.236849605005533,0.07771806263491922,no,no,976,0
NCT03745053:28938644,0,0,0,NCT03745053,28938644,0.14455864030802415,0.0,-0.5,166,3162.06827,304,5811.48945,0.285332373297017,,-0.5,0,0.506728134364736,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07758290957927436,no,no,977,0
NCT03745053:25223651,0,0,0,NCT03745053,25223651,0.09689158751116735,0.0,-0.5,128,2532.70383,231,4642.52516,0.285332373297017,,-0.5,0,1.1428571428571428,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07746335615000341,no,no,978,0
NCT03745053:21122853,0,0,0,NCT03745053,21122853,0.09689158751116735,0.0,-0.5,213,3742.47723,369,6644.57594,0.285332373297017,,-0.5,0,0.0,0,0.0,-0.5,0,0.2,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07733383058316749,no,no,979,0
NCT03745053:26715370,0,0,0,NCT03745053,26715370,0.2465610049186281,0.0,-0.5,222,3794.04919,387,6749.40492,0.285332373297017,,-0.5,0,1.0666666666666667,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.2465610049186281,0.07731121339182921,no,no,980,0
NCT03745053:19784815,0,0,0,NCT03745053,19784815,0.09689158751116735,0.0,-0.5,171,2904.00487,292,5145.6659,0.285332373297017,,-0.5,0,1.1111111111111112,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07727901483660929,no,no,981,0
NCT03745053:26032938,0,0,0,NCT03745053,26032938,0.14455864030802415,0.0,-0.5,160,2960.8771,291,5461.97041,0.285332373297017,,-0.5,0,1.125,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07726027515096448,no,no,982,0
NCT03745053:19463439,0,0,0,NCT03745053,19463439,0.09689158751116735,0.0,-0.5,235,3945.37282,411,7033.68998,0.285332373297017,,-0.5,0,1.0666666666666667,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.0772235211227415,no,no,983,0
NCT03745053:16146907,0,0,0,NCT03745053,16146907,0.09689158751116735,0.0,-0.5,230,3866.20571,404,6916.9439,0.285332373297017,,-0.5,0,1.1,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07713919707412595,no,no,984,0
NCT03745053:16483337,0,0,0,NCT03745053,16483337,0.09689158751116735,0.0,-0.5,225,3816.80258,400,6874.82554,0.285332373297017,,-0.5,0,1.1111111111111112,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07705710303066286,no,no,985,0
